year,round,from_country_id,to_country_id,from_country,to_country,total_points,tele_points,jury_points
2008,final,be,pl,be,pl,0,,
2008,final,be,gb,be,gb,0,,
2008,final,ba,ru,ba,ru,4,,
2008,final,ba,ua,ba,ua,3,,
2008,final,ba,gr,ba,gr,7,,
2008,final,ba,am,ba,am,6,,
2008,final,ba,no,ba,no,2,,
2008,final,ba,rs,ba,rs,12,,
2008,final,ba,tr,ba,tr,8,,
2008,final,ba,az,ba,az,0,,
2008,final,ba,il,ba,il,5,,
2008,final,ba,ba,ba,ba,0,,
2008,final,ba,ge,ba,ge,0,,
2008,final,ba,lv,ba,lv,0,,
2008,final,ba,pt,ba,pt,0,,
2008,final,ba,is,ba,is,0,,
2008,final,ba,dk,ba,dk,0,,
2008,final,ba,es,ba,es,0,,
2008,final,ba,al,ba,al,1,,
2008,final,ba,se,ba,se,0,,
2008,final,ba,fr,ba,fr,0,,
2008,final,ba,ro,ba,ro,0,,
2008,final,ba,hr,ba,hr,10,,
2008,final,ba,fi,ba,fi,0,,
2008,final,ba,de,ba,de,0,,
2008,final,ba,pl,ba,pl,0,,
2008,final,ba,gb,ba,gb,0,,
2008,final,bg,ru,bg,ru,6,,
2008,final,bg,ua,bg,ua,7,,
2008,final,bg,gr,bg,gr,10,,
2008,final,bg,am,bg,am,8,,
2008,final,bg,no,bg,no,1,,
2008,final,bg,rs,bg,rs,4,,
2008,final,bg,tr,bg,tr,5,,
2008,final,bg,az,bg,az,3,,
2008,final,bg,il,bg,il,2,,
2008,final,bg,ba,bg,ba,0,,
2008,final,bg,ge,bg,ge,0,,
2008,final,bg,lv,bg,lv,0,,
2008,final,bg,pt,bg,pt,0,,
2008,final,bg,is,bg,is,0,,
2008,final,bg,dk,bg,dk,0,,
2008,final,bg,es,bg,es,0,,
2008,final,bg,al,bg,al,0,,
2008,final,bg,se,bg,se,0,,
2008,final,bg,fr,bg,fr,0,,
2008,final,bg,ro,bg,ro,0,,
2008,final,bg,hr,bg,hr,0,,
2008,final,bg,fi,bg,fi,0,,
2008,final,bg,de,bg,de,12,,
2008,final,bg,pl,bg,pl,0,,
2008,final,bg,gb,bg,gb,0,,
2008,final,hr,ru,hr,ru,6,,
2008,final,hr,ua,hr,ua,7,,
2008,final,hr,gr,hr,gr,5,,
2008,final,hr,am,hr,am,0,,
2008,final,hr,no,hr,no,1,,
2008,final,hr,rs,hr,rs,10,,
2008,final,hr,tr,hr,tr,0,,
2008,final,hr,az,hr,az,0,,
2008,final,hr,il,hr,il,2,,
2008,final,hr,ba,hr,ba,12,,
2008,final,hr,ge,hr,ge,0,,
2008,final,hr,lv,hr,lv,4,,
2008,final,hr,pt,hr,pt,3,,
2008,final,hr,is,hr,is,0,,
2008,final,hr,dk,hr,dk,0,,
2008,final,hr,es,hr,es,0,,
2008,final,hr,al,hr,al,8,,
2008,final,hr,se,hr,se,0,,
2008,final,hr,fr,hr,fr,0,,
2008,final,hr,ro,hr,ro,0,,
2008,final,hr,hr,hr,hr,0,,
2008,final,hr,fi,hr,fi,0,,
2008,final,hr,de,hr,de,0,,
2008,final,hr,pl,hr,pl,0,,
2008,final,hr,gb,hr,gb,0,,
2008,final,cy,ru,cy,ru,8,,
2008,final,cy,ua,cy,ua,6,,
2008,final,cy,gr,cy,gr,12,,
2008,final,cy,am,cy,am,10,,
2008,final,cy,no,cy,no,0,,
2008,final,cy,rs,cy,rs,5,,
2008,final,cy,tr,cy,tr,0,,
2008,final,cy,az,cy,az,0,,
2008,final,cy,il,cy,il,2,,
2008,final,cy,ba,cy,ba,0,,
2008,final,cy,ge,cy,ge,7,,
2008,final,cy,lv,cy,lv,0,,
2008,final,cy,pt,cy,pt,0,,
2008,final,cy,is,cy,is,0,,
2008,final,cy,dk,cy,dk,0,,
2008,final,cy,es,cy,es,4,,
2008,final,cy,al,cy,al,0,,
2008,final,cy,se,cy,se,1,,
2008,final,cy,fr,cy,fr,0,,
2008,final,cy,ro,cy,ro,3,,
2008,final,cy,hr,cy,hr,0,,
2008,final,cy,fi,cy,fi,0,,
2008,final,cy,de,cy,de,0,,
2008,final,cy,pl,cy,pl,0,,
2008,final,cy,gb,cy,gb,0,,
2008,final,cz,ru,cz,ru,7,,
2008,final,cz,ua,cz,ua,8,,
2008,final,cz,gr,cz,gr,5,,
2008,final,cz,am,cz,am,12,,
2008,final,cz,no,cz,no,0,,
2008,final,cz,rs,cz,rs,6,,
2008,final,cz,tr,cz,tr,0,,
2008,final,cz,az,cz,az,10,,
2008,final,cz,il,cz,il,0,,
2008,final,cz,ba,cz,ba,1,,
2008,final,cz,ge,cz,ge,4,,
2008,final,cz,lv,cz,lv,3,,
2008,final,cz,pt,cz,pt,0,,
2008,final,cz,is,cz,is,0,,
2008,final,cz,dk,cz,dk,2,,
2008,final,cz,es,cz,es,0,,
2008,final,cz,al,cz,al,0,,
2008,final,cz,se,cz,se,0,,
2008,final,cz,fr,cz,fr,0,,
2008,final,cz,ro,cz,ro,0,,
2008,final,cz,hr,cz,hr,0,,
2008,final,cz,fi,cz,fi,0,,
2008,final,cz,de,cz,de,0,,
2008,final,cz,pl,cz,pl,0,,
