year,country,lowlevel_average_loudness,lowlevel_barkbands_crest_mean,lowlevel_barkbands_crest_stdev,lowlevel_barkbands_flatness_db_mean,lowlevel_barkbands_flatness_db_stdev,lowlevel_barkbands_kurtosis_mean,lowlevel_barkbands_kurtosis_stdev,lowlevel_barkbands_skewness_mean,lowlevel_barkbands_skewness_stdev,lowlevel_barkbands_spread_mean,lowlevel_barkbands_spread_stdev,lowlevel_dissonance_mean,lowlevel_dissonance_stdev,lowlevel_dynamic_complexity,lowlevel_erbbands_crest_mean,lowlevel_erbbands_crest_stdev,lowlevel_erbbands_flatness_db_mean,lowlevel_erbbands_flatness_db_stdev,lowlevel_erbbands_kurtosis_mean,lowlevel_erbbands_kurtosis_stdev,lowlevel_erbbands_skewness_mean,lowlevel_erbbands_skewness_stdev,lowlevel_erbbands_spread_mean,lowlevel_erbbands_spread_stdev,lowlevel_hfc_mean,lowlevel_hfc_stdev,lowlevel_loudness_ebu128_integrated,lowlevel_loudness_ebu128_loudness_range,lowlevel_loudness_ebu128_momentary_mean,lowlevel_loudness_ebu128_momentary_stdev,lowlevel_loudness_ebu128_short_term_mean,lowlevel_loudness_ebu128_short_term_stdev,lowlevel_melbands_crest_mean,lowlevel_melbands_crest_stdev,lowlevel_melbands_flatness_db_mean,lowlevel_melbands_flatness_db_stdev,lowlevel_melbands_kurtosis_mean,lowlevel_melbands_kurtosis_stdev,lowlevel_melbands_skewness_mean,lowlevel_melbands_skewness_stdev,lowlevel_melbands_spread_mean,lowlevel_melbands_spread_stdev,lowlevel_pitch_salience_mean,lowlevel_pitch_salience_stdev,lowlevel_silence_rate_20dB_mean,lowlevel_silence_rate_20dB_stdev,lowlevel_silence_rate_30dB_mean,lowlevel_silence_rate_30dB_stdev,lowlevel_silence_rate_60dB_mean,lowlevel_silence_rate_60dB_stdev,lowlevel_spectral_centroid_mean,lowlevel_spectral_centroid_stdev,lowlevel_spectral_complexity_mean,lowlevel_spectral_complexity_stdev,lowlevel_spectral_decrease_mean,lowlevel_spectral_decrease_stdev,lowlevel_spectral_energy_mean,lowlevel_spectral_energy_stdev,lowlevel_spectral_energyband_high_mean,lowlevel_spectral_energyband_high_stdev,lowlevel_spectral_energyband_low_mean,lowlevel_spectral_energyband_low_stdev,lowlevel_spectral_energyband_middle_high_mean,lowlevel_spectral_energyband_middle_high_stdev,lowlevel_spectral_energyband_middle_low_mean,lowlevel_spectral_energyband_middle_low_stdev,lowlevel_spectral_entropy_mean,lowlevel_spectral_entropy_stdev,lowlevel_spectral_flux_mean,lowlevel_spectral_flux_stdev,lowlevel_spectral_kurtosis_mean,lowlevel_spectral_kurtosis_stdev,lowlevel_spectral_rms_mean,lowlevel_spectral_rms_stdev,lowlevel_spectral_rolloff_mean,lowlevel_spectral_rolloff_stdev,lowlevel_spectral_skewness_mean,lowlevel_spectral_skewness_stdev,lowlevel_spectral_spread_mean,lowlevel_spectral_spread_stdev,lowlevel_spectral_strongpeak_mean,lowlevel_spectral_strongpeak_stdev,lowlevel_zerocrossingrate_mean,lowlevel_zerocrossingrate_stdev,metadata_audio_properties_analysis_equal_loudness,metadata_audio_properties_analysis_length,metadata_audio_properties_analysis_sample_rate,metadata_audio_properties_analysis_start_time,metadata_audio_properties_bit_rate,metadata_audio_properties_length,metadata_audio_properties_lossless,metadata_audio_properties_number_channels,metadata_audio_properties_replay_gain,metadata_audio_properties_sample_rate,rhythm_beats_count,rhythm_beats_loudness_mean,rhythm_beats_loudness_stdev,rhythm_bpm,rhythm_bpm_histogram_first_peak_bpm,rhythm_bpm_histogram_first_peak_weight,rhythm_bpm_histogram_second_peak_bpm,rhythm_bpm_histogram_second_peak_spread,rhythm_bpm_histogram_second_peak_weight,rhythm_danceability,rhythm_onset_rate,tonal_chords_changes_rate,tonal_chords_number_rate,tonal_chords_strength_mean,tonal_chords_strength_stdev,tonal_hpcp_crest_mean,tonal_hpcp_crest_stdev,tonal_hpcp_entropy_mean,tonal_hpcp_entropy_stdev,tonal_key_edma_strength,tonal_key_krumhansl_strength,tonal_key_temperley_strength,tonal_tuning_diatonic_strength,tonal_tuning_equal_tempered_deviation,tonal_tuning_frequency,tonal_tuning_nontempered_energy_ratio
2008,ru,0.7382034659385681,10.060262680053711,4.5925164222717285,0.13215328752994537,0.06465161591768265,2.9557769298553467,9.625051498413086,1.2068417072296143,1.3117436170578003,30.983762741088867,19.459291458129883,0.46807751059532166,0.03023529425263405,3.703742265701294,9.450047492980957,4.539055347442627,0.17199206352233887,0.06731052696704865,0.5957732200622559,2.7860212326049805,0.18282802402973175,1.002946376800537,40.798553466796875,20.98021125793457,29.121374130249023,30.72964859008789,-12.115063667297363,8.128091812133789,-13.88210391998291,4.645366668701172,-13.446075439453125,4.020989894866943,14.408463478088379,5.43723726272583,0.16989989578723907,0.06840662658214569,12.504769325256348,24.702098846435547,2.490844249725342,1.7799350023269653,35.99508285522461,30.803781509399414,0.536314070224762,0.13021978735923767,1.0,0.0,0.9996584057807922,0.018479449674487114,0.12081530690193176,0.32590004801750183,1884.6318359375,810.7833251953125,18.035982131958008,10.353850364685059,-5.53969048411318e-09,4.339583359325161e-09,0.023549536243081093,0.017786739394068718,0.002054837066680193,0.0032291545066982508,0.007363747805356979,0.009551988914608955,0.005928341299295425,0.006750054191797972,0.00894424319267273,0.01061443705111742,7.744691848754883,0.4161803722381592,0.08229991793632507,0.046916309744119644,2.7530574798583984,2.3990819454193115,0.004372426774352789,0.0019639211241155863,2441.066162109375,1987.107666015625,1.1737333536148071,0.4316577613353729,4917737.5,1630927.625,1.0403026342391968,1.368743896484375,0.08336938172578812,0.04764125123620033,0.0,203.88278198242188,44100.0,0.0,320000.0,203.8828125,0.0,2.0,-11.11505126953125,48000.0,432.0,0.02725081704556942,0.017713818699121475,133.2183074951172,133.0,0.4012739062309265,126.0,0.3870968222618103,0.044083528220653534,0.9627991318702698,2.903463363647461,0.10109289735555649,0.003870673943310976,0.5084925293922424,0.10661596804857254,14.085240364074707,6.9490132331848145,1.9404454231262207,0.7578748464584351,0.5823777318000793,0.5875099301338196,0.5909438729286194,0.5480336546897888,0.07534419000148773,441.5275573730469,0.7908498644828796
2008,ua,0.8248286247253418,10.227051734924316,4.765163898468018,0.12301681935787201,0.05271555110812187,2.0007407665252686,5.755677223205566,0.9860422611236572,1.123645544052124,25.061613082885742,14.724733352661133,0.47713255882263184,0.019592566415667534,3.5633106231689453,9.245146751403809,4.756476402282715,0.17475438117980957,0.060788754373788834,0.6638055443763733,2.347440004348755,0.2657105326652527,0.8613241314888,31.42618179321289,14.610496520996094,24.448936462402344,25.80868148803711,-13.641378402709961,7.524874687194824,-14.925492286682129,3.79308819770813,-14.577645301818848,3.102262020111084,13.783392906188965,5.710104942321777,0.16438083350658417,0.05796651542186737,7.2097649574279785,12.976968765258789,1.8923498392105103,1.437252163887024,33.38490676879883,27.976430892944336,0.564394474029541,0.13494323194026947,1.0,0.0,0.9998840093612671,0.010768470354378223,0.10948735475540161,0.31225186586380005,1786.280029296875,700.4444580078125,21.051612854003906,11.205526351928711,-5.406928238471664e-09,4.678350595810343e-09,0.02262454479932785,0.01897820085287094,0.0012560932664200664,0.002717815339565277,0.007231722120195627,0.011016611941158772,0.007875257171690464,0.00962713174521923,0.006865088362246752,0.008759970776736736,7.766573905944824,0.33485978841781616,0.08623696118593216,0.04896509274840355,4.345582485198975,2.3119993209838867,0.004252322018146515,0.001997650833800435,2028.5836181640625,1569.5982666015625,1.448623538017273,0.38858288526535034,4199343.0,1300890.625,1.2310168743133545,1.6992039680480957,0.0745064988732338,0.04207262396812439,0.0,200.16761779785156,44100.0,0.0,320000.0,200.16761779785156,0.0,2.0,-9.848321914672852,48000.0,434.0,0.03748379647731781,0.022728342562913895,127.98951721191406,129.0,0.3947368264198303,152.0,0.25,0.027713626623153687,1.106553077697754,3.476884126663208,0.08325602859258652,0.0030148422811180353,0.4951053559780121,0.10141576081514359,13.36850357055664,7.109819412231445,2.111025810241699,0.8199524879455566,0.6025696396827698,0.6026275753974915,0.6004759669303894,0.5680762529373169,0.20279183983802795,434.193115234375,0.9072016477584839
2008,gr,0.9246620535850525,9.128140449523926,4.234441757202148,0.09410188347101212,0.049244873225688934,1.978869080543518,5.568943023681641,1.1231282949447632,1.1238704919815063,33.758697509765625,18.310361862182617,0.4778500497341156,0.017386678606271744,2.8138227462768555,7.8389692306518555,3.4752328395843506,0.13333739340305328,0.057519715279340744,0.1758265197277069,1.6117347478866577,0.11222121119499207,0.7701086401939392,40.1927375793457,17.94336700439453,26.14060401916504,22.777538299560547,-14.040075302124023,4.371185302734375,-14.673158645629883,2.6158576011657715,-14.404083251953125,1.9172885417938232,14.72727108001709,6.680436611175537,0.1499640941619873,0.0586293525993824,10.463549613952637,18.62895965576172,2.3420426845550537,1.721462607383728,35.7204704284668,22.776668548583984,0.5544558167457581,0.12226583063602448,1.0,0.0,1.0,0.0,0.06987061351537704,0.2549305558204651,2051.53466796875,660.85302734375,19.936660766601562,10.930771827697754,-4.827372723781309e-09,3.580566954042297e-09,0.02059062197804451,0.014764794148504734,0.0016544214449822903,0.0018859283300116658,0.008032344281673431,0.0100388890132308,0.006244544871151447,0.006893244106322527,0.005227594170719385,0.004583180416375399,7.9246110916137695,0.315987765789032,0.08137613534927368,0.04061410576105118,3.523425817489624,1.7659125328063965,0.004169762134552002,0.0016436092555522919,2571.9140625,2124.979736328125,1.3922408819198608,0.31371018290519714,5443245.5,1737871.5,0.7406566143035889,1.1298261880874634,0.0945831760764122,0.04854050651192665,0.0,188.40670776367188,44100.0,0.0,320000.0,188.40672302246094,0.0,2.0,-10.267282485961914,48000.0,346.0,0.027247076854109764,0.013828218914568424,110.95417022705078,110.0,0.498516321182251,98.0,0.3749999403953552,0.014492753893136978,1.2432568073272705,4.3785552978515625,0.045096106827259064,0.001478560850955546,0.587946891784668,0.1075090691447258,13.40861988067627,7.205320835113525,2.103727102279663,0.7951729893684387,0.694668710231781,0.7089506387710571,0.7027865052223206,0.6645360589027405,0.2886543869972229,434.193115234375,0.9387744069099426
2008,am,0.6985666155815125,10.368389129638672,4.9766764640808105,0.1201959028840065,0.047224126756191254,1.4314066171646118,4.79005241394043,0.8557679653167725,1.0379242897033691,29.126663208007812,13.854216575622559,0.47370287775993347,0.022893263027071953,3.448115110397339,11.091062545776367,5.970471382141113,0.16563329100608826,0.05347653850913048,0.6928970813751221,2.777337074279785,0.30745255947113037,0.7422528266906738,33.36262130737305,14.774216651916504,25.82295799255371,22.180953979492188,-14.689369201660156,6.009721755981445,-15.656352043151855,3.0854756832122803,-15.21662712097168,2.314335584640503,13.963361740112305,5.936390399932861,0.14829076826572418,0.05628383159637451,7.241786956787109,15.333338737487793,1.8252407312393188,1.5743380784988403,37.65184020996094,20.999034881591797,0.5309941172599792,0.1350296139717102,1.0,0.0,1.0,0.0,0.06469135731458664,0.24597389996051788,2022.931640625,587.8340454101562,18.125308990478516,8.949685096740723,-4.617367377335313e-09,3.7004455055722474e-09,0.019769255071878433,0.01563848927617073,0.0014698856975883245,0.0015978635055944324,0.004910639952868223,0.006902188062667847,0.009689507074654102,0.011414701119065285,0.004343392793089151,0.005157100968062878,7.7498650550842285,0.35904255509376526,0.07767821848392487,0.04078594967722893,3.059941291809082,1.8099417686462402,0.004055067431181669,0.0016862608026713133,2345.092529296875,1438.361572265625,1.2938017845153809,0.29276198148727417,4817401.0,1083705.25,1.7941721677780151,2.159001111984253,0.08277777582406998,0.032063305377960205,0.0,188.0467987060547,44100.0,0.0,320000.0,188.04681396484375,0.0,2.0,-9.43214225769043,48000.0,389.0,0.025262974202632904,0.01664336957037449,123.72758483886719,123.0,0.34925371408462524,129.0,0.3333333134651184,0.05154639109969139,1.028507113456726,3.5095479488372803,0.07454949617385864,0.0032090842723846436,0.5413616895675659,0.11748631298542023,13.577374458312988,6.394501686096191,1.9975719451904297,0.761930525302887,0.7585390210151672,0.7665374875068665,0.7703830599784851,0.681201159954071,0.24666132032871246,434.193115234375,0.9165809154510498
2008,no,0.9267531633377075,9.151514053344727,3.820127248764038,0.12304344028234482,0.048714298754930496,1.210379719734192,3.5474050045013428,0.8991619348526001,0.9094106554985046,28.087890625,15.126720428466797,0.4674868881702423,0.026688871905207634,3.1558444499969482,9.269257545471191,4.508585453033447,0.17031513154506683,0.054826654493808746,0.6286254525184631,2.371204137802124,0.19320295751094818,0.8571991920471191,33.34792709350586,16.472970962524414,21.56305503845215,18.152618408203125,-14.076103210449219,5.950624465942383,-15.079538345336914,3.326744794845581,-14.671472549438477,2.461395502090454,13.045408248901367,4.858076572418213,0.168217733502388,0.05388364940881729,6.009506702423096,8.885714530944824,1.8495234251022339,1.1842336654663086,34.06337356567383,21.655109405517578,0.539094090461731,0.1131410002708435,1.0,0.0,1.0,0.0,0.0711524486541748,0.2570852041244507,1807.98779296875,678.7408447265625,19.345373153686523,10.003667831420898,-4.51960557867892e-09,2.888588035432349e-09,0.019013917073607445,0.012194625101983547,0.0008759215124882758,0.0011669306550174952,0.005302837584167719,0.0044765532948076725,0.006949642673134804,0.007204035762697458,0.006382318213582039,0.006107672583311796,7.636916637420654,0.3757871091365814,0.06989215314388275,0.035866618156433105,4.246541500091553,2.6086223125457764,0.0040403492748737335,0.001491882954724133,2061.50439453125,1466.7652587890625,1.412812352180481,0.41174638271331787,4226835.5,1356095.5,1.2140241861343384,1.76900053024292,0.0721534937620163,0.03521353006362915,0.0,192.16896057128906,44100.0,0.0,320000.0,192.16897583007812,0.0,2.0,-10.443975448608398,48000.0,305.0,0.02383597567677498,0.013116136193275452,91.8266372680664,92.0,0.11983472108840942,129.0,0.23076921701431274,0.06578947603702545,1.071743130683899,2.8617281913757324,0.03937198221683502,0.0028985508251935244,0.5660486817359924,0.09786300361156464,14.052616119384766,6.461063861846924,1.9150795936584473,0.7046926617622375,0.8001684546470642,0.8154945969581604,0.8270379304885864,0.7243983745574951,0.05959099903702736,440.76312255859375,0.7401278018951416
2008,rs,0.6311666369438171,10.911324501037598,4.104977607727051,0.1551753580570221,0.05083676427602768,3.3333213329315186,5.418228626251221,1.2221922874450684,1.0206362009048462,16.86216163635254,11.788947105407715,0.45009610056877136,0.039860423654317856,4.044312953948975,12.34013557434082,5.384005069732666,0.2098138928413391,0.05669369176030159,1.7229558229446411,3.471294641494751,0.8114093542098999,0.8638487458229065,26.52077293395996,17.05113983154297,18.173980712890625,17.02025032043457,-15.343765258789062,11.14259147644043,-17.372203826904297,4.488577842712402,-16.912155151367188,3.673370122909546,14.08332633972168,5.3587751388549805,0.19546228647232056,0.04931556060910225,7.24118185043335,9.663997650146484,1.703431487083435,1.2533161640167236,22.294269561767578,15.900318145751953,0.5695623159408569,0.11802022159099579,1.0,0.0,1.0,0.0,0.15677045285701752,0.36360040307044983,1317.2921142578125,544.9010620117188,14.612961769104004,8.333089828491211,-4.4437609147962576e-09,3.6638430067625904e-09,0.018420251086354256,0.015184471383690834,0.0002912824566010386,0.0004249527701176703,0.0020177385304123163,0.004181922413408756,0.008872074075043201,0.01111348532140255,0.0077702803537249565,0.007230824790894985,7.345427513122559,0.3859485387802124,0.06481225043535233,0.03826818987727165,5.671022891998291,2.8992629051208496,0.003838867414742708,0.0017983394209295511,1561.2705078125,1194.6942138671875,1.7727737426757812,0.4057471454143524,4046047.5,1444880.125,1.7232120037078857,1.7185903787612915,0.058858927339315414,0.028168626129627228,0.0,192.36570739746094,44100.0,0.0,320000.0,192.36572265625,0.0,2.0,-8.881317138671875,48000.0,409.0,0.020816577598452568,0.015543551184237003,123.33248138427734,123.0,0.43560606241226196,172.0,0.0,0.06862745434045792,0.8989084959030151,2.323558807373047,0.0617760606110096,0.003137065563350916,0.530706524848938,0.10798034816980362,16.943912506103516,8.505867004394531,1.6493009328842163,0.8075034022331238,0.691244900226593,0.7093570232391357,0.7222703695297241,0.6222741007804871,0.2520478665828705,434.193115234375,0.9511000514030457
2008,tr,0.9561634659767151,8.115153312683105,3.6398727893829346,0.10118715465068817,0.04319930449128151,0.33281147480010986,3.0390260219573975,0.8000187873840332,0.8693109750747681,37.16038131713867,15.273354530334473,0.4821290373802185,0.014923153445124626,2.347123861312866,7.951986789703369,3.5409200191497803,0.1527857631444931,0.049163568764925,0.055572595447301865,1.6299054622650146,-0.35369715094566345,0.7621760368347168,41.063175201416016,15.334850311279297,25.375505447387695,16.355207443237305,-12.883330345153809,3.541752815246582,-13.516748428344727,2.8536217212677,-13.211691856384277,1.7969902753829956,12.139185905456543,4.471785545349121,0.14004553854465485,0.04956880584359169,6.724121570587158,10.353161811828613,2.153911828994751,1.255142092704773,43.0555305480957,22.978818893432617,0.5798987746238708,0.11217290908098221,1.0,0.0,1.0,0.0,0.03797014802694321,0.19110612571239471,2295.731689453125,613.0466918945312,25.22220802307129,10.356466293334961,-4.478176940381218e-09,2.6291662180710773e-09,0.019203312695026398,0.010905790142714977,0.0013386716600507498,0.0012808991596102715,0.005783101078122854,0.006909029092639685,0.00605329405516386,0.004830910824239254,0.006722664460539818,0.005142710171639919,7.850391864776611,0.2870689034461975,0.07808313518762589,0.03405929356813431,3.143521308898926,1.9217746257781982,0.0041292402893304825,0.0012978145387023687,2881.851806640625,1519.3245849609375,1.0887150764465332,0.3508729934692383,4283944.0,1439747.625,0.9849794507026672,1.4255166053771973,0.09031512588262558,0.034789077937603,0.0,194.4438934326172,44100.0,0.0,320000.0,194.4439239501953,0.0,2.0,-10.739276885986328,48000.0,488.0,0.021615274250507355,0.01042275968939066,151.02894592285156,152.0,0.24053454399108887,144.0,0.1818181872367859,0.018480492755770683,1.0397439002990723,3.5535120964050293,0.08022922277450562,0.004536771681159735,0.5029276609420776,0.09912746399641037,12.397716522216797,6.064856052398682,2.1951756477355957,0.7488561272621155,0.6667118072509766,0.6904676556587219,0.7189552783966064,0.4862203598022461,0.04379642382264137,441.5275573730469,0.7589085102081299
2008,az,0.9090353846549988,9.822235107421875,4.103659152984619,0.10731907188892365,0.04628961905837059,1.2438021898269653,4.7504143714904785,0.9593979716300964,0.9868927001953125,35.08469009399414,17.119953155517578,0.47682735323905945,0.0224506426602602,2.9466943740844727,9.186614036560059,5.113654136657715,0.14915765821933746,0.06059197708964348,0.4858456552028656,2.0237388610839844,0.1128324642777443,0.7914659976959229,37.83999252319336,19.58721351623535,34.92578887939453,24.780799865722656,-13.343620300292969,5.393423080444336,-14.281805992126465,3.313352108001709,-13.95536994934082,2.6368236541748047,14.28794002532959,5.078070640563965,0.1575191468000412,0.04988674074411392,9.691418647766113,19.83800506591797,2.254343032836914,1.7433744668960571,37.47986602783203,21.647058486938477,0.531682014465332,0.11791220307350159,1.0,0.0,1.0,0.0,0.05666467547416687,0.23118820786476135,2068.0888671875,612.7439575195312,24.80609703063965,12.0036039352417,-6.787512329964329e-09,4.072235437746485e-09,0.028785504400730133,0.01692165434360504,0.0023049514275044203,0.002282919827848673,0.01083360891789198,0.010168912820518017,0.009575377218425274,0.008807950653135777,0.006686938460916281,0.007629409898072481,7.906498432159424,0.3153505027294159,0.09719979763031006,0.04628988355398178,3.03645920753479,2.235152006149292,0.005013215821236372,0.0017178503330796957,2315.06396484375,1504.0977783203125,1.2088006734848022,0.37120601534843445,4931988.0,1578523.375,1.14142644405365,1.7427793741226196,0.08239951729774475,0.03225494548678398,0.0,194.20008850097656,44100.0,0.0,320000.0,194.20010375976562,0.0,2.0,-9.393392562866211,48000.0,372.0,0.03234489634633064,0.017890365794301033,111.91641998291016,112.0,0.2508143186569214,117.0,0.16666662693023682,0.04043126851320267,0.9598470330238342,3.655804395675659,0.09419076889753342,0.0038250060752034187,0.4823056757450104,0.09547113627195358,12.311599731445312,5.220895290374756,2.1348626613616943,0.6881710290908813,0.5117490291595459,0.5264995694160461,0.5479680895805359,0.4704502820968628,0.09788534045219421,442.0379333496094,0.7905694246292114
2008,il,0.7802337408065796,9.521430015563965,3.541536331176758,0.15294857323169708,0.04615107923746109,1.6213706731796265,3.8520796298980713,0.9630393385887146,0.822891116142273,21.045780181884766,10.423989295959473,0.4573937952518463,0.029767731204628944,3.2847111225128174,10.345629692077637,3.999767303466797,0.19520853459835052,0.05151119828224182,0.6036319732666016,1.924424171447754,0.49185246229171753,0.6902705430984497,30.159543991088867,15.180896759033203,24.617570877075195,18.20906639099121,-14.891355514526367,8.22712230682373,-16.191539764404297,3.6972551345825195,-15.915060043334961,3.1243414878845215,12.125615119934082,4.359559059143066,0.1889561116695404,0.046881821006536484,5.387603759765625,7.957717418670654,1.6460325717926025,1.0913101434707642,26.17466163635254,13.850790977478027,0.5557644963264465,0.10415814071893692,1.0,0.0,1.0,0.0,0.061324212700128555,0.23991191387176514,1545.0025634765625,500.37982177734375,19.05460548400879,8.685845375061035,-6.440824318332261e-09,4.435087408438676e-09,0.026542071253061295,0.018207428976893425,0.0007337432471103966,0.0008928757742978632,0.005382129922509193,0.007069307379424572,0.010396497324109077,0.010301562026143074,0.01060749962925911,0.007887965068221092,7.361804485321045,0.4194350242614746,0.07243579626083374,0.03845411166548729,4.7144341468811035,2.3975539207458496,0.00473736971616745,0.001857944531366229,1585.3670654296875,985.08056640625,1.493543267250061,0.40210703015327454,3833666.5,1010530.4375,1.7269953489303589,1.787630319595337,0.0595986470580101,0.023501550778746605,0.0,190.04371643066406,44100.0,0.0,320000.0,190.04373168945312,0.0,2.0,-8.09779167175293,48000.0,489.0,0.03012130595743656,0.01943681202828884,155.4351806640625,157.0,0.13880127668380737,152.0,0.05102044343948364,0.1905737668275833,0.9316367506980896,2.725522041320801,0.0654616504907608,0.0029311187099665403,0.5095847249031067,0.1115209311246872,16.77212905883789,8.044517517089844,1.6486786603927612,0.7346524596214294,0.6832621097564697,0.6951431035995483,0.6972994208335876,0.5587030053138733,0.012546125799417496,441.0177917480469,0.7108533382415771
2008,ba,0.7698352932929993,8.305974960327148,3.567676305770874,0.12182483822107315,0.052960414439439774,1.4197125434875488,4.3742194175720215,1.0484273433685303,0.9167485237121582,26.787202835083008,13.249275207519531,0.47448667883872986,0.021336067467927933,3.6183152198791504,8.280957221984863,3.966414213180542,0.16128702461719513,0.06449790298938751,0.3430279493331909,1.5097955465316772,0.12512479722499847,0.6742648482322693,33.852684020996094,15.792730331420898,23.665685653686523,24.798444747924805,-16.200345993041992,7.379789352416992,-17.814727783203125,4.2686614990234375,-17.19371795654297,2.98834228515625,12.038818359375,4.470371723175049,0.1617298424243927,0.053952474147081375,7.218103885650635,13.892450332641602,2.019113302230835,1.3608379364013672,30.787384033203125,17.415260314941406,0.5760595202445984,0.11047667264938354,1.0,0.0,0.9991523623466492,0.029103288426995277,0.10559457540512085,0.30733245611190796,1637.5147705078125,508.5694885253906,21.31726837158203,11.471883773803711,-5.049054063732683e-09,4.452159085843732e-09,0.02120288275182247,0.0184993464499712,0.0012341235997155309,0.001973011065274477,0.006508109625428915,0.010798847302794456,0.006947824731469154,0.007859079167246819,0.007217772305011749,0.007127742748707533,7.7495222091674805,0.3135550618171692,0.074091337621212,0.047373004257678986,4.602945804595947,2.7646257877349854,0.004125674720853567,0.0019142847741022706,1982.84326171875,1264.63330078125,1.5922216176986694,0.39579105377197266,4628682.0,1446863.125,0.8957639932632446,1.181247353553772,0.07478561252355576,0.03057575225830078,0.0,191.72714233398438,44100.0,0.0,320000.0,191.7271728515625,0.0,2.0,-7.799619674682617,48000.0,456.0,0.02837824448943138,0.020870475098490715,143.88572692871094,144.0,0.24324321746826172,136.0,0.07692307233810425,0.02637362666428089,0.9787607789039612,3.024949073791504,0.04600484296679497,0.002663438208401203,0.5478192567825317,0.10663669556379318,14.141212463378906,7.191701889038086,1.9776610136032104,0.7412460446357727,0.8005869388580322,0.8047239184379578,0.8078062534332275,0.6863468885421753,0.2814297378063202,434.193115234375,0.9714676141738892
